id,category,subcategory,type,name,price,portion,ingredients,description,image_filename,is_landing_featured
1,Appetizers,Fried Heavenly,Non-Veg,Chicken Strips,140,4 pcs,"Boneless chicken tenderloin, ginger-garlic paste, crushed black pepper, egg wash, crunchy panko breadcrumbs, tartar & mustard dip","Crisp-fried tender chicken strips marinated in secret cafe spices, served piping hot with creamy house dip.",images/chicken_strips.jpg,true
2,Appetizers,Fried Heavenly,Non-Veg,Kolkata Fish Fry (Vetki),130,1 pc,"Fresh Bhetki fish fillet, coriander-mint-green chili paste, kasundi mustard, lime juice, biscuit crumb coating","Iconic Kolkata style crumbed Bhetki fillet marinated in fresh green marinade, fried golden and served with authentic Kasundi.",images/kolkata_fish_fry.jpg,true
3,Appetizers,Fried Heavenly,Non-Veg,Dry Chili Chicken,160,6 pcs,"Tender chicken cubes, dark soy sauce, green chilies, diced bell peppers, spring onion, ginger, garlic, white pepper","Tangra-style Kolkata Indo-Chinese boneless chicken tossed on a roaring wok with crisp peppers, chili flakes, and scallions.",images/dry_chili_chicken.jpg,true
4,Continental,Momo,Non-Veg,Chicken Kurkure Momo,100,6 pcs,"Minced chicken dumplings, onion, ginger, soy, layered in seasoned cornflake-panko crust, schezwan mayo dip","Juicy minced chicken momos enveloped in a super-crispy spiced kurkure crust, served with fiery chili-garlic chutney.",images/chicken_kurkure_momo.jpg,true
5,Appetizers,Fried Heavenly,Non-Veg,Fried Wings,160,"2 pcs, tossed","Chicken wings, red chili paste, soy sauce, tossed in spicy sweet chili glaze","Crispy double-fried chicken wings tossed in a spicy, finger-licking savory glaze.",images/fried_wings.jpg,false
6,Appetizers,Fried Heavenly,Non-Veg,Chicken Fried Leg,180,"2 pcs, tossed","Chicken drumsticks, peri-peri seasoning, egg batter, tossed glaze","Plump chicken drumsticks deep-fried until crunchy on the outside, succulent inside, tossed in signature sauce.",images/chicken_fried_leg.jpg,false
7,Appetizers,Fried Heavenly,Non-Veg,Chicken Chatpata,180,6 pcs,"Chicken chunks, chaat masala, lemon juice, roasted cumin, green chilies, onions","Zesty, tangy fried chicken tossed with chopped onions, green chilies, and authentic Indian chatpata masala.",images/chicken_chatpata.jpg,false
8,Appetizers,Fried Heavenly,Non-Veg,Faltu Chicken,180,12 pcs,"Bite-sized chicken popcorn, crushed spices, fried curry leaves, green chilies, rock salt","Quirky Bengal cafe specialty—irresistibly crunchy bite-sized chicken nibbles tossed in tangy street-style spice blend.",images/faltu_chicken.jpg,false
9,Appetizers,Fried Heavenly,Non-Veg,Pepper Chicken,190,portion,"Chicken bites, cracked black tellicherry pepper, garlic, curry leaves, onions","South-meets-East spicy pepper chicken tossed with cracked black pepper and caramelized garlic.",images/pepper_chicken.jpg,false
10,Appetizers,Fried Heavenly,Non-Veg,Dry Chili Fish,200,6 pcs,"Basa fish cubes, dark soy sauce, green chili, garlic, capsicum, sesame oil","Soft fish nuggets wok-tossed with green chilies, crunchy bell peppers, and savoury soy garlic glaze.",images/dry_chili_fish.jpg,false
11,Appetizers,Fried Heavenly,Non-Veg,Fish and Chips,250,portion,"Batter-fried fish fillet, potato wedges, tartar sauce, lemon wedge","English classic with a Kolkata touch: crispy golden batter-fried fish served with seasoned chunky fries and tartar sauce.",images/fish_and_chips.jpg,false
12,Appetizers,Fried Heavenly,Non-Veg,Fish Finger,150/180,4 pcs,"Basa/Vetki fish batons, garlic, black pepper, breadcrumb crust, kasundi","Slender fingers of seasoned fish coated in crisp breadcrumbs, accompanied by authentic Bengali mustard dip.",images/fish_finger.jpg,false
13,Appetizers,Fried Heavenly,Non-Veg,Chicken Cutlet,80,1 pc,"Minced spiced chicken patty, beetroot-onion mirepoix, garam masala, breadcrumbs","Traditional Kolkata cabin-style chicken cutlet with a deep savory mince filling and crunchy crust.",images/chicken_cutlet.jpg,false
14,Appetizers,Fried Heavenly,Non-Veg,Chicken Lollipop,120,4 pcs,"Chicken winglets Frenched, Indo-Chinese marinade, cornstarch, red chili, schezwan sauce","Crispy, drummette-style chicken lollipops served with hot garlic dipping sauce.",images/chicken_lollipop.jpg,false
15,Appetizers,Fried Heavenly,Non-Veg,Drums of Hell,150,4 pcs,"Fried chicken lollipops, fiery red chili sauce, minced garlic, spring onions","Chicken lollipops drenched in an intensely spicy Indo-Chinese dragon sauce.",images/drums_of_hell.jpg,false
16,Appetizers,Fried Heavenly,Non-Veg,Chicken Manchurian Dry,180,6 pcs,"Minced chicken dumplings, ginger, garlic, soy, coriander root, green chili glaze","Classic Indo-Chinese chicken balls wok-tossed in thick savory garlic-soy reduction.",images/chicken_manchurian.jpg,false
17,Appetizers,Maggi,Non-Veg,Chicken Maggi,80,bowl,"Maggi noodles, shredded chicken, signature masala, onions, green peas","Comfort in a bowl: classic Maggi noodles tossed with spiced tender chicken shreds and fresh herbs.",images/chicken_maggi.jpg,false
18,Appetizers,Maggi,Non-Veg,Meet Me Special Maggi,100,bowl,"Maggi noodles, spiced chicken chunks, scrambled egg, melted cheddar cheese","Loaded signature Maggi topped with pan-seared chicken, fluffy egg ribbons, and gooey melted cheese.",images/meet_me_special_maggi.jpg,false
19,Appetizers,Fried Heavenly,Veg,Crispy Chili Babycorn,200,portion,"Babycorn spears, cornstarch, capsicum, onion, dark soy, chili paste, scallions","Crisp-fried tender babycorn spears tossed with sweet bell peppers and fiery chili-garlic sauce.",images/crispy_chili_babycorn.jpg,true
20,Appetizers,Fried Heavenly,Veg,Dry Chili Mushroom,200,portion,"Fresh button mushrooms, light batter, soy sauce, green chilies, garlic, capsicum","Crisp button mushrooms glazed in a savory, aromatic Indo-Chinese wok sauce with bell peppers.",images/dry_chili_mushroom.jpg,true
21,Appetizers,Fried Heavenly,Veg,Peri Peri French Fry,90,portion,"Potato fries, African bird's eye chili seasoning, sea salt","Golden crispy french fries tossed in an addictive, zesty peri-peri spice dust.",images/peri_peri_fries.jpg,true
22,Continental,Wraps,Veg,Paneer Wrap,160,1 roll,"Laccha paratha, marinated paneer cubes, onion rings, capsicum, mint mayo","Spiced tandoori-style cottage cheese cubes wrapped in a warm, flaky layered paratha with mint relish.",images/paneer_wrap.jpg,true
23,Appetizers,Fried Heavenly,Veg,Classic French Fry,70,portion,"Shoestring potatoes, sea salt","Golden, crispy, lightly salted premium potato fries.",images/classic_french_fry.jpg,false
24,Appetizers,Fried Heavenly,Veg,Potato Chili Balls,100,16 pcs,"Mashed potato, green chili, cilantro, spices, crisp crumb coating","Bite-sized potato pop-bites infused with fiery green chilies and herb seasoning.",images/potato_chili_balls.jpg,false
25,Appetizers,Fried Heavenly,Veg,Potato Cheese Balls,120,10 pcs,"Potatoes, mozzarella & cheddar cheese core, herbs, breadcrumb crust","Crispy golden spheres with an oozing, melted cheese and spiced potato center.",images/potato_cheese_balls.jpg,false
